#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    39959    0.277    0.539    0.216    57533    1.235
       1    26777    0.186    0.568    0.222    63520    1.262
       2    15943    0.111    0.412    0.188    65910    1.420
       3    14351    0.100    0.399    0.192    38682    1.424
       4    11799    0.082    0.398    0.182    16598    1.387
       5     8751    0.061    0.410    0.201    97430    1.394
       6     8531    0.059    0.383    0.191   116232    1.413
       7     7636    0.053    0.438    0.207     7489    1.404
       8     5423    0.038    0.431    0.206     7905    1.415
       9     4830    0.034    0.465    0.222   128209    1.383
